source,original_cell_line_id,original_cell_line_name,sanger_model_id,depmap_id,mapping_status,notes
gdsc_response,SIDM01132,PFSK-1,SIDM01132,,unreviewed,
gdsc_response,SIDM00848,A673,SIDM00848,,unreviewed,
gdsc_response,SIDM00263,ES5,SIDM00263,,unreviewed,
gdsc_response,SIDM00269,ES7,SIDM00269,,unreviewed,
gdsc_response,SIDM00203,EW-11,SIDM00203,,unreviewed,
gdsc_response,SIDM01111,SK-ES-1,SIDM01111,,unreviewed,
gdsc_response,SIDM00909,COLO-829,SIDM00909,,unreviewed,
gdsc_response,SIDM00807,5637,SIDM00807,,unreviewed,
gdsc_response,SIDM01085,RT4,SIDM01085,,unreviewed,
gdsc_response,SIDM01160,SW780,SIDM01160,,unreviewed,
gdsc_response,SIDM01190,TCCSUP,SIDM01190,,unreviewed,
gdsc_response,SIDM00889,C-33-A,SIDM00889,,unreviewed,
gdsc_response,SIDM00905,C-4-I,SIDM00905,,unreviewed,
gdsc_response,SIDM00627,ME-180,SIDM00627,,unreviewed,
gdsc_response,SIDM00982,42-MG-BA,SIDM00982,,unreviewed,
gdsc_response,SIDM00998,8-MG-BA,SIDM00998,,unreviewed,
gdsc_response,SIDM00799,A172,SIDM00799,,unreviewed,
gdsc_response,SIDM00581,GB-1,SIDM00581,,unreviewed,
gdsc_response,SIDM01171,T98G,SIDM01171,,unreviewed,
gdsc_response,SIDM01193,U-118-MG,SIDM01193,,unreviewed,
gdsc_response,SIDM01189,U-87-MG,SIDM01189,,unreviewed,
gdsc_response,SIDM00315,YKG-1,SIDM00315,,unreviewed,
gdsc_response,SIDM00924,ChaGo-K-1,SIDM00924,,unreviewed,
gdsc_response,SIDM01120,NCI-H720,SIDM01120,,unreviewed,
gdsc_response,SIDM00922,Calu-3,SIDM00922,,unreviewed,
gdsc_response,SIDM00512,COR-L23,SIDM00512,,unreviewed,
gdsc_response,SIDM00548,LK-2,SIDM00548,,unreviewed,
gdsc_response,SIDM00734,NCI-H1437,SIDM00734,,unreviewed,
gdsc_response,SIDM00747,NCI-H1623,SIDM00747,,unreviewed,
gdsc_response,SIDM00746,NCI-H1648,SIDM00746,,unreviewed,
gdsc_response,SIDM00745,NCI-H1650,SIDM00745,,unreviewed,
gdsc_response,SIDM00742,NCI-H1693,SIDM00742,,unreviewed,
gdsc_response,SIDM00737,NCI-H1770,SIDM00737,,unreviewed,
gdsc_response,SIDM00769,NCI-H1838,SIDM00769,,unreviewed,
gdsc_response,SIDM00709,NCI-H2085,SIDM00709,,unreviewed,
gdsc_response,SIDM00716,NCI-H2170,SIDM00716,,unreviewed,
gdsc_response,SIDM00729,NCI-H2228,SIDM00729,,unreviewed,
gdsc_response,SIDM00727,NCI-H2342,SIDM00727,,unreviewed,
gdsc_response,SIDM00726,NCI-H2347,SIDM00726,,unreviewed,
gdsc_response,SIDM00724,NCI-H2405,SIDM00724,,unreviewed,
gdsc_response,SIDM01122,NCI-H661,SIDM01122,,unreviewed,
gdsc_response,SIDM00509,COR-L311,SIDM00509,,unreviewed,
gdsc_response,SIDM00865,DMS-114,SIDM00865,,unreviewed,
