source,original_drug_id,original_drug_name,canonical_smiles,mapping_status,notes
gdsc_response,1003,Camptothecin,,unreviewed,
gdsc_response,1004,Vinblastine,,unreviewed,
gdsc_response,1005,Cisplatin,,unreviewed,
gdsc_response,1006,Cytarabine,,unreviewed,
gdsc_response,1007,Docetaxel,,unreviewed,
gdsc_response,1008,Methotrexate,,unreviewed,
gdsc_response,1009,Tretinoin,,unreviewed,
gdsc_response,1010,Gefitinib,,unreviewed,
gdsc_response,1011,Navitoclax,,unreviewed,
gdsc_response,1012,Vorinostat,,unreviewed,
gdsc_response,1013,Nilotinib,,unreviewed,
gdsc_response,1014,Refametinib,,unreviewed,
gdsc_response,1016,Temsirolimus,,unreviewed,
gdsc_response,1017,Olaparib,,unreviewed,
gdsc_response,1018,Veliparib,,unreviewed,
gdsc_response,1019,Bosutinib,,unreviewed,
gdsc_response,1020,Lenalidomide,,unreviewed,
gdsc_response,1021,Axitinib,,unreviewed,
gdsc_response,1022,AZD7762,,unreviewed,
gdsc_response,1023,GW441756,,unreviewed,
gdsc_response,1024,Lestaurtinib,,unreviewed,
gdsc_response,1025,SB216763,,unreviewed,
gdsc_response,1026,Tanespimycin,,unreviewed,
gdsc_response,1029,Motesanib,,unreviewed,
gdsc_response,1030,KU-55933,,unreviewed,
gdsc_response,1031,Elesclomol,,unreviewed,
gdsc_response,1032,Afatinib,,unreviewed,
gdsc_response,1033,Vismodegib,,unreviewed,
gdsc_response,1034,Staurosporine,,unreviewed,
gdsc_response,1036,PLX-4720,,unreviewed,
gdsc_response,1037,BX795,,unreviewed,
gdsc_response,1038,NU7441,,unreviewed,
gdsc_response,1039,SL0101,,unreviewed,
gdsc_response,1042,Doramapimod,,unreviewed,
gdsc_response,1043,JNK Inhibitor VIII,,unreviewed,
gdsc_response,1046,Wee1 Inhibitor,,unreviewed,
gdsc_response,1047,Nutlin-3a (-),,unreviewed,
gdsc_response,1048,Mirin,,unreviewed,
gdsc_response,1049,PD173074,,unreviewed,
gdsc_response,1050,ZM447439,,unreviewed,
gdsc_response,1051,Alisertib,,unreviewed,
gdsc_response,1052,RO-3306,,unreviewed,
gdsc_response,1053,MK-2206,,unreviewed,
gdsc_response,1054,Palbociclib,,unreviewed,
gdsc_response,1057,Dactolisib,,unreviewed,
gdsc_response,1058,Pictilisib,,unreviewed,
gdsc_response,1059,AZD8055,,unreviewed,
gdsc_response,1060,PD0325901,,unreviewed,
gdsc_response,1061,SB590885,,unreviewed,
